Rank, Feature                          , Description                                                                                                                                             , Category        , Tags                                       , Marketing Priority
   1, Embedded MCP Server              , "Built-in Model Context Protocol server lets AI tools like Claude query your database directly — read-only, secure, zero config"                        , AI Integration  , "ai,mcp,claude,llm,unique"                 , Hero
   2, Interactive Schema Graph         , "Visual ER diagram with auto-layout (ELK.js), multi-root support, column visibility toggles, depth control, and table search overlay"                   , Data Exploration, "schema,graph,visualization,er-diagram"    , Hero
   3, Keyboard-First UX with Vim Mode  , "Full Vim keybindings in data grid and SQL editor, command palette (Cmd+P), frecency-based action search, and comprehensive keyboard shortcuts"         , Power User      , "vim,keyboard,shortcuts,command-palette"   , Hero
   4, Obsidian-Style Plugin System     , "Extensible architecture: register custom cell renderers, record enrichers, views, query hooks, actions, and themes from ~/.slashtable/plugins/"        , Extensibility   , "plugins,extensible,api,customization"     , Hero
   5, Advanced Filtering System        , "Multi-block AND/OR filters with 15+ operators (contains, regex, between, in, is null), locked FK filters, raw SQL blocks, and type-aware value pickers", Data Exploration, "filters,search,operators,query"           , Primary
   6, Foreign Key Navigation           , "Click-through FK relationships with breadcrumb trail, reverse FK support, M2M detection via join tables, and locked filter context preservation"       , Data Exploration, "fk,relationships,navigation,drill-down"   , Primary
   7, Schema-Aware SQL Editor          , "Monaco editor with contextual autocomplete for schemas, tables, and columns, SQL formatting, multi-statement execution, and snippet support"           , Query           , "sql,editor,autocomplete,monaco"           , Primary
   8, Multiple Simultaneous Connections, "Connect to many Postgres databases at once, each with independent tabs, state, and query context"                                                      , Connectivity    , "connections,multi-database,parallel"      , Primary
   9, Safe Data Mutations              , "Inline cell editing with pending changes preview, SQL diff before commit, batch operations, per-change revert, and confirmation dialogs"               , Data Editing    , "edit,mutations,safety,preview"            , Primary
  10, Docker Auto-Detection            , "Automatically discovers running PostgreSQL Docker containers, extracts credentials from env vars, and offers one-click connect"                        , Connectivity    , "docker,auto-detect,dev-workflow"          , Primary
  11, 1Password Integration            , "Source database credentials directly from 1Password via CLI — list vaults, select items, auto-fill connection forms"                                   , Security        , "1password,credentials,secrets"            , Primary
  12, Virtual Scrolling                , "TanStack Virtual renders only visible rows — browse tables with millions of rows at 60fps without memory bloat"                                        , Performance     , "virtual-scroll,performance,large-datasets", Primary
  13, Favorites & Saved Views          , "Save filtered/sorted table views as named favorites with folder organization, instant recall of full filter+sort+column state"                         , Productivity    , "favorites,saved-views,bookmarks"          , Secondary
  14, Dark & Light Themes              , "Dark mode by default with one-click light toggle, CSS variable-based theming system, and plugin-registrable custom themes"                             , UI/UX           , "theme,dark-mode,light-mode,customization" , Secondary
  15, Connection Organization          , "Nested folder hierarchy for connections with drag-and-drop, color indicators, custom icons, and badge labels (prod/dev/staging)"                       , Connectivity    , "folders,organization,labels,badges"       , Secondary
  16, Tab Management                   , "Explorer, SQL, and Schema Graph tabs with drag-to-reorder, duplicate, rename, independent state per tab, and keyboard navigation"                      , UI/UX           , "tabs,workspace,navigation"                , Secondary
  17, System Keyring Credentials       , "Passwords stored in macOS Keychain / Windows Credential Manager — never plaintext on disk, never sent to frontend"                                     , Security        , "keychain,credentials,encryption,secure"   , Secondary
  18, Semantic Column Types            , "Auto-render emails, URLs, images, currency, color swatches, star ratings, phone numbers, and relative dates based on column content"                   , Data Display    , "cell-rendering,smart-types,display"       , Secondary
  19, SQL Execution Logging            , "Every query logged with timing, parameters, row count, and status — browse SQL and app logs in a dedicated panel with level filtering"                 , Observability   , "logging,audit,query-log,diagnostics"      , Secondary
